time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
5870,2021-06-25 14:35:30,36.162455,-96.835598,10.498688,10.4658796,1038.1127917498,1048.5786713498,12.139108,0.31540854,1.09454727912,11,0,15.733,1049.2348393498,11.154856,7.49598594,1.13349084992,0.223694,0,-0.223694,13.6, 8.2, -0.8,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,14.146,84.2,1048.5786713498,10.498688,6,P-GPS,
5880,2021-06-25 14:35:30,36.162455,-96.835597,10.826772,10.826772,1038.0799833498,1048.9067553498,12.139108,0.31540854,1.13349084992,11,0,15.733,1049.2348393498,11.154856,7.49598594,1.13349084992,0.223694,0,-0.223694,13.6, 8.4, -1.1,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,14.146,84.2,1048.9067553498,10.826772,6,P-GPS,
5900,2021-06-25 14:35:31,36.162455,-96.835597,10.826772,10.826772,1038.0799833498,1048.9067553498,12.139108,0.63305402,1.13349084992,11,0,15.733,1049.2348393498,11.154856,7.49598594,1.13349084992,0.447388,0,-0.447388,13.5, 10.3, -1.2,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,14.146,84.2,1048.9067553498,10.826772,6,P-GPS,
6000,2021-06-25 14:35:31,36.162455,-96.835597,10.826772,10.826772,1038.0799833498,1048.9067553498,12.139108,0.50107456,1.13349084992,11,0,15.706,1049.2348393498,11.154856,7.49598594,1.13349084992,0.223694,0,-0.447388,13.5, 12.3, -0.7,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,13.766,84.2,1048.9067553498,10.826772,6,P-GPS,
6060,2021-06-25 14:35:31,36.162455,-96.835597,11.154856,11.154856,1038.0799833498,1049.2348393498,12.139108,0.671082,1.13349084992,11,0,15.706,1049.2348393498,11.154856,7.49598594,1.13349084992,0,0,-0.671082,13.6, 13.1, 0.1,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,13.766,84.2,1049.2348393498,11.154856,6,P-GPS,
6190,2021-06-25 14:35:31,36.162455,-96.835597,11.48294,11.48294,1038.0799833498,1049.5629233498,12.139108,0.671082,1.13349084992,11,0,15.706,1049.5629233498,11.48294,7.49598594,1.13349084992,0,0,-0.671082,13.8, 12.3, 1.1,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,13.766,84.2,1049.5629233498,11.48294,6,P-GPS,
6330,2021-06-25 14:35:31,36.162455,-96.835597,11.48294,11.48294,1038.0799833498,1049.5629233498,12.139108,0.31540854,1.13349084992,11,0,15.706,1049.5629233498,11.48294,7.49598594,1.13349084992,0,0.223694,-0.223694,13.8, 10.9, 0.7,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,13.766,84.2,1049.5629233498,11.48294,6,P-GPS,
6660,2021-06-25 14:35:31,36.162455,-96.835597,11.48294,11.48294,1038.0799833498,1049.5629233498,12.139108,0.223694,1.13349084992,11,0,15.706,1049.5629233498,11.48294,7.49598594,1.13349084992,0,0.223694,0,14, 8.8, -0.9,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,13.766,84.2,1049.5629233498,11.48294,6,P-GPS,
6780,2021-06-25 14:35:31,36.162455,-96.835597,11.154856,11.154856,1038.0799833498,1049.2348393498,12.139108,0.223694,1.13349084992,11,0,15.706,1049.5629233498,11.48294,7.49598594,1.13349084992,0,0.223694,0,13.7, 6.4, -4.5,0,0,1024,1024,1024,1024,13.7,0,97,3.878,3.859,3.863,3.821,0,0,13.766,84.2,1049.2348393498,11.154856,6,P-GPS,
6910,2021-06-25 14:35:32,36.162455,-96.835596,10.826772,10.826772,1038.0799833498,1048.9067553498,11.811024,0.31540854,1.24301841248,11,0,15.706,1049.5629233498,11.48294,7.49598594,1.24301841248,0.223694,0,0.223694,13.6, 9.6, -1.2,0,0,1024,1024,1024,1024,13.8,0,97,3.878,3.859,3.863,3.821,0,0,13.766,84.2,1048.9067553498,10.826772,6,P-GPS,
