Time,RSSI,RelativeLatitude,RelativeLongitude,Height
2021-06-25 14:39:14.826994,-55,6.49999999993156e-05,5.000000001587068e-06,5.249511349800059
2021-06-25 14:39:15.377395,-55,6.49999999993156e-05,5.000000001587068e-06,5.249511349800059
2021-06-25 14:39:15.929704,-55,6.49999999993156e-05,5.999999999062311e-06,4.921427349800069
2021-06-25 14:39:16.485689,-55,6.49999999993156e-05,5.000000001587068e-06,5.249511349800059
2021-06-25 14:39:17.035661,-54,6.400000000184036e-05,5.000000001587068e-06,4.921427349800069
2021-06-25 14:39:17.579844,-53,6.49999999993156e-05,1.100000000064938e-05,4.921427349800069
2021-06-25 14:39:18.136140,-52,6.49999999993156e-05,2.0000000006348273e-05,4.921427349800069
2021-06-25 14:39:18.688802,-51,6.700000000137152e-05,3.8000000003535206e-05,4.921427349800069
2021-06-25 14:39:19.239851,-49,6.900000000342743e-05,5.2999999994085556e-05,4.5933433498000795
2021-06-25 14:39:19.792251,-48,7.099999999837792e-05,7.300000000043383e-05,4.5933433498000795
2021-06-25 14:39:20.344669,-47,7.200000000295859e-05,8.59999999960337e-05,4.5933433498000795
2021-06-25 14:39:20.895901,-45,7.099999999837792e-05,0.00010199999999827014,4.5933433498000795
2021-06-25 14:39:21.438073,-44,7.099999999837792e-05,0.00011700000000303135,4.26525934980009
2021-06-25 14:39:21.993859,-44,7.000000000090267e-05,0.00012499999999704414,4.26525934980009
2021-06-25 14:39:22.541833,-49,7.000000000090267e-05,0.00013699999999516876,4.26525934980009
2021-06-25 14:39:23.084846,-47,6.900000000342743e-05,0.00015199999999992997,4.26525934980009
2021-06-25 14:39:23.635719,-42,6.799999999884676e-05,0.00016499999999552983,4.26525934980009
2021-06-25 14:39:24.195665,-46,6.700000000137152e-05,0.00017800000000534055,3.9371753498001
2021-06-25 14:39:24.748255,-39,6.700000000137152e-05,0.00019399999999336615,3.9371753498001
2021-06-25 14:39:25.296563,-40,6.599999999679085e-05,0.00020700000000317686,3.9371753498001
2021-06-25 14:39:25.849751,-43,6.599999999679085e-05,0.000217000000006351,3.9371753498001
2021-06-25 14:39:26.403680,-47,6.599999999679085e-05,0.00023199999999690135,3.60909134980011
2021-06-25 14:39:26.954543,-50,6.49999999993156e-05,0.0002460000000041873,3.60909134980011
2021-06-25 14:39:27.510240,-54,6.49999999993156e-05,0.00026099999999473766,3.28100734980012
2021-06-25 14:39:28.060327,-57,6.49999999993156e-05,0.00027199999999538704,3.28100734980012
2021-06-25 14:39:28.613102,-59,6.599999999679085e-05,0.00028700000000014825,2.9529233498001304
2021-06-25 14:39:29.161021,-59,6.700000000137152e-05,0.00029899999999827287,2.9529233498001304
2021-06-25 14:39:29.738149,-63,6.700000000137152e-05,0.00031199999999387273,2.9529233498001304
2021-06-25 14:39:30.253202,-64,6.799999999884676e-05,0.0003229999999945221,2.9529233498001304
2021-06-25 14:39:30.805286,-65,6.700000000137152e-05,0.0003339999999951715,2.9529233498001304
2021-06-25 14:39:31.363352,-67,6.700000000137152e-05,0.0003459999999932961,2.9529233498001304
2021-06-25 14:39:31.913446,-68,6.700000000137152e-05,0.000354999999998995,2.9529233498001304
2021-06-25 14:39:32.472100,-69,6.700000000137152e-05,0.0003640000000046939,2.9529233498001304
2021-06-25 14:39:33.035654,-68,6.700000000137152e-05,0.0003700000000037562,2.6248393498001406
2021-06-25 14:39:33.580507,-68,6.700000000137152e-05,0.0003810000000044056,2.6248393498001406
2021-06-25 14:39:34.159900,-69,6.700000000137152e-05,0.00038800000000094315,2.6248393498001406
2021-06-25 14:39:34.707030,-69,6.700000000137152e-05,0.0003990000000015925,2.6248393498001406
2021-06-25 14:39:35.220069,-69,6.599999999679085e-05,0.00040500000000065484,2.6248393498001406
2021-06-25 14:39:35.772098,-69,6.599999999679085e-05,0.0004069999999956053,2.6248393498001406
2021-06-25 14:39:36.326449,-69,6.599999999679085e-05,0.0004059999999981301,2.2967553498001507
2021-06-25 14:39:36.879903,-69,6.599999999679085e-05,0.0004059999999981301,2.2967553498001507
2021-06-25 14:39:37.415464,-68,6.49999999993156e-05,0.00040500000000065484,2.2967553498001507
2021-06-25 14:39:38.003173,-68,6.49999999993156e-05,0.00040500000000065484,2.2967553498001507
2021-06-25 14:39:38.552370,-67,6.49999999993156e-05,0.00040500000000065484,2.6248393498001406
2021-06-25 14:39:39.103779,-65,6.49999999993156e-05,0.00040500000000065484,2.6248393498001406
2021-06-25 14:39:39.655941,-63,6.49999999993156e-05,0.00040500000000065484,2.2967553498001507
